1.61892e-06 0.228604 0.0233166 0.0595724 33.7513 77.2098 0.843523 7.78242
0 2632 9
0.35 0 0.35 1.61892e-06
0.35 1.61892e-06 0.35 3.66619e-06
0.35 3.66619e-06 0.35 6.22529e-06
0.35 6.22529e-06 0.35 9.42415e-06
0.35 9.42415e-06 0.35 1.34227e-05
0.35 1.34227e-05 0.35 1.8421e-05
0.35 1.8421e-05 0.35 2.46687e-05
0.35 2.46687e-05 0.35 3.24785e-05
0.35 3.24785e-05 0.35 4.22406e-05
0.35 4.22406e-05 0.35 5.44433e-05
0.35 5.44433e-05 0.35 6.96967e-05
0.35 6.96967e-05 0.35 8.87635e-05
0.35 8.87635e-05 0.35 0.000112597
0.35 0.000112597 0.35 0.000142389
0.35 0.000142389 0.35 0.000179628
0.35 0.000179628 0.35 0.000226178
0.35 0.000226178 0.35 0.000284365
0.35 0.000284365 0.35 0.000357099
0.35 0.000357099 0.35 0.000448017
0.35 0.000448017 0.35 0.000561664
0.35 0.000561664 0.35 0.000703723
0.35 0.000703723 0.35 0.000881297
0.35 0.000881297 0.35 0.00110326
0.35 0.00110326 0.35 0.00138072
0.35 0.00138072 0.35 0.00170829
0.35 0.00170829 0.35 0.00203586
0.35 0.00203586 0.35 0.00236343
0.35 0.00236343 0.35 0.00269101
0.35 0.00269101 0.35 0.00301858
0.35 0.00301858 0.35 0.00334615
0.35 0.00334615 0.35 0.00367373
0.35 0.00367373 0.35 0.00400131
0.35 0.00400131 0.35 0.00432889
0.35 0.00432889 0.35 0.00465647
0.35 0.00465647 0.35 0.00498405
0.35 0.00498405 0.35 0.00531163
0.35 0.00531163 0.35 0.00563922
0.35 0.00563922 0.35 0.00596681
0.35 0.00596681 0.35 0.00629439
0.35 0.00629439 0.35 0.00662198
0.35 0.00662198 0.35 0.00694957
0.35 0.00694957 0.35 0.00727717
0.35 0.00727717 0.35 0.00760476
0.35 0.00760476 0.35 0.00793235
0.35 0.00793235 0.35 0.00825995
0.35 0.00825995 0.35 0.00858755
0.35 0.00858755 0.35 0.00891514
0.35 0.00891514 0.35 0.00924274
0.35 0.00924274 0.35 0.00957035
0.35 0.00957035 0.35 0.00989795
0.35 0.00989795 0.35 0.0102256
0.35 0.0102256 0.35 0.0105532
0.35 0.0105532 0.35 0.0108808
0.35 0.0108808 0.35 0.0112084
0.35 0.0112084 0.35 0.011536
0.35 0.011536 0.35 0.0118636
0.35 0.0118636 0.35 0.0121912
0.35 0.0121912 0.35 0.0125188
0.35 0.0125188 0.35 0.0128464
0.35 0.0128464 0.35 0.0131741
0.35 0.0131741 0.35 0.0135017
0.35 0.0135017 0.35 0.0138293
0.35 0.0138293 0.35 0.0141569
0.35 0.0141569 0.35 0.0144845
0.35 0.0144845 0.35 0.0148122
0.35 0.0148122 0.35 0.0151398
0.35 0.0151398 0.35 0.0154674
0.35 0.0154674 0.35 0.0157951
0.35 0.0157951 0.35 0.0161227
0.35 0.0161227 0.35 0.0164503
0.35 0.0164503 0.35 0.016778
0.35 0.016778 0.35 0.0171056
0.35 0.0171056 0.35 0.0174333
