2.98857e-06 0.241904 0.0751649 0.0684699 68.6064 78.9408 0.795867 6.63118
0 1371 6
0.35 0.0821991 0.35 0.0827987
0.35 0.0827987 0.35 0.0833984
0.35 0.0833984 0.35 0.083998
0.35 0.083998 0.35 0.0845977
0.35 0.0845977 0.35 0.0851973
0.35 0.0851973 0.35 0.085797
0.35 0.085797 0.35 0.0863966
0.35 0.0863966 0.35 0.0869962
0.35 0.0869962 0.35 0.0875958
0.35 0.0875958 0.35 0.0881955
0.35 0.0881955 0.35 0.0887951
0.35 0.0887951 0.35 0.0893947
0.35 0.0893947 0.35 0.0899943
0.35 0.0899943 0.35 0.0905939
0.35 0.0905939 0.35 0.0911935
0.35 0.0911935 0.35 0.091793
0.35 0.091793 0.35 0.0923926
0.35 0.0923926 0.35 0.0929922
0.35 0.0929922 0.35 0.0935917
0.35 0.0935917 0.35 0.0941913
0.35 0.0941913 0.35 0.0947908
0.35 0.0947908 0.35 0.0953904
0.35 0.0953904 0.35 0.0959899
0.35 0.0959899 0.35 0.0965895
0.35 0.0965895 0.35 0.097189
0.35 0.097189 0.35 0.0977885
0.35 0.0977885 0.35 0.098388
0.35 0.098388 0.35 0.0989875
0.35 0.0989875 0.35 0.099587
0.35 0.099587 0.35 0.100187
0.35 0.100187 0.35 0.100785
0.35 0.100785 0.35 0.101383
0.35 0.101383 0.35 0.101981
0.35 0.101981 0.35 0.10258
0.35 0.10258 0.35 0.103178
0.35 0.103178 0.35 0.103776
0.35 0.103776 0.35 0.104375
0.35 0.104375 0.35 0.104973
0.35 0.104973 0.35 0.105571
0.35 0.105571 0.35 0.106169
0.35 0.106169 0.35 0.106768
0.35 0.106768 0.35 0.107366
0.35 0.107366 0.35 0.107964
0.35 0.107964 0.35 0.108563
0.35 0.108563 0.35 0.109161
0.35 0.109161 0.35 0.109759
0.35 0.109759 0.35 0.110357
0.35 0.110357 0.35 0.110956
0.35 0.110956 0.35 0.111554
0.35 0.111554 0.35 0.112152
0.35 0.112152 0.35 0.11275
0.35 0.11275 0.35 0.113348
0.35 0.113348 0.35 0.113947
0.35 0.113947 0.35 0.114545
0.35 0.114545 0.35 0.115143
0.35 0.115143 0.35 0.115741
0.35 0.115741 0.35 0.11634
0.35 0.11634 0.35 0.116938
0.35 0.116938 0.35 0.117536
0.35 0.117536 0.35 0.118134
0.35 0.118134 0.35 0.118732
0.35 0.118732 0.35 0.11933
0.35 0.11933 0.35 0.119929
0.35 0.119929 0.35 0.120527
0.35 0.120527 0.35 0.121124
0.35 0.121124 0.35 0.12172
0.35 0.12172 0.35 0.122317
0.35 0.122317 0.35 0.122914
0.35 0.122914 0.35 0.123511
0.35 0.123511 0.35 0.124108
0.35 0.124108 0.35 0.124705
0.35 0.124705 0.35 0.125301
0.35 0.125301 0.35 0.125898
0.35 0.125898 0.35 0.126495
0.35 0.126495 0.35 0.127092
0.35 0.127092 0.35 0.127689
0.35 0.127689 0.35 0.128285
0.35 0.128285 0.35 0.128882
0.35 0.128882 0.35 0.129479
0.35 0.129479 0.35 0.130076
0.35 0.130076 0.35 0.130672
0.35 0.130672 0.35 0.131269
0.35 0.131269 0.35 0.131866
0.35 0.131866 0.35 0.132463
0.35 0.132463 0.35 0.133059
0.35 0.133059 0.35 0.133656
0.35 0.133656 0.35 0.134253
0.35 0.134253 0.35 0.134849
0.35 0.134849 0.35 0.135446
0.35 0.135446 0.35 0.136043
0.35 0.136043 0.35 0.136639
0.35 0.136639 0.35 0.137236
0.35 0.137236 0.35 0.137833
0.35 0.137833 0.35 0.138429
0.35 0.138429 0.35 0.139026
0.35 0.139026 0.35 0.139622
0.35 0.139622 0.35 0.140219
0.35 0.140219 0.35 0.140814
0.35 0.140814 0.35 0.141409
0.35 0.141409 0.35 0.142004
0.35 0.142004 0.35 0.142599
0.35 0.142599 0.35 0.143193
0.35 0.143193 0.35 0.143788
0.35 0.143788 0.35 0.144383
0.35 0.144383 0.35 0.144978
0.35 0.144978 0.35 0.145573
0.35 0.145573 0.35 0.146167
0.35 0.146167 0.35 0.146762
0.35 0.146762 0.35 0.147357
0.35 0.147357 0.35 0.147952
0.35 0.147952 0.35 0.148546
0.35 0.148546 0.35 0.149141
0.35 0.149141 0.35 0.149736
0.35 0.149736 0.35 0.15033
0.35 0.15033 0.35 0.150925
0.35 0.150925 0.35 0.15152
0.35 0.15152 0.35 0.152114
0.35 0.152114 0.35 0.152709
0.35 0.152709 0.35 0.153304
0.35 0.153304 0.35 0.153898
0.35 0.153898 0.35 0.154493
0.35 0.154493 0.35 0.155088
0.35 0.155088 0.35 0.155682
0.35 0.155682 0.35 0.156277
0.35 0.156277 0.35 0.156871
0.35 0.156871 0.35 0.157466
0.35 0.157466 0.35 0.158061
0.35 0.158061 0.35 0.158655
0.35 0.158655 0.35 0.15925
0.35 0.15925 0.35 0.159844
0.35 0.159844 0.35 0.160439
0.35 0.160439 0.35 0.161031
0.35 0.161031 0.35 0.161623
0.35 0.161623 0.35 0.162215
0.35 0.162215 0.35 0.162807
0.35 0.162807 0.35 0.163399
0.35 0.163399 0.35 0.163991
0.35 0.163991 0.35 0.164583
0.35 0.164583 0.35 0.165175
0.35 0.165175 0.35 0.165767
0.35 0.165767 0.35 0.166359
0.35 0.166359 0.35 0.16695
0.35 0.16695 0.35 0.167542
0.35 0.167542 0.35 0.168134
0.35 0.168134 0.35 0.168726
0.35 0.168726 0.35 0.169318
0.35 0.169318 0.35 0.16991
0.35 0.16991 0.35 0.170502
0.35 0.170502 0.35 0.171094
0.35 0.171094 0.35 0.171685
0.35 0.171685 0.35 0.172277
0.35 0.172277 0.35 0.172869
0.35 0.172869 0.35 0.173461
0.35 0.173461 0.35 0.174053
0.35 0.174053 0.35 0.174644
0.35 0.174644 0.35 0.175236
0.35 0.175236 0.35 0.175828
0.35 0.175828 0.35 0.17642
0.35 0.17642 0.35 0.177012
0.35 0.177012 0.35 0.177603
0.35 0.177603 0.35 0.178195
0.35 0.178195 0.35 0.178787
0.35 0.178787 0.35 0.179379
0.35 0.179379 0.35 0.17997
0.35 0.17997 0.35 0.180562
0.35 0.180562 0.35 0.18115
0.35 0.18115 0.35 0.181738
0.35 0.181738 0.35 0.182326
0.35 0.182326 0.35 0.182914
0.35 0.182914 0.35 0.183502
0.35 0.183502 0.35 0.18409
0.35 0.18409 0.35 0.184678
0.35 0.184678 0.35 0.185266
0.35 0.185266 0.35 0.185854
0.35 0.185854 0.35 0.186442
0.35 0.186442 0.35 0.18703
0.35 0.18703 0.35 0.187618
0.35 0.187618 0.35 0.188206
0.35 0.188206 0.35 0.188794
0.35 0.188794 0.35 0.189382
0.35 0.189382 0.35 0.189971
0.35 0.189971 0.35 0.190559
0.35 0.190559 0.35 0.191147
0.35 0.191147 0.35 0.191735
0.35 0.191735 0.35 0.192323
0.35 0.192323 0.35 0.192912
0.35 0.192912 0.35 0.1935
0.35 0.1935 0.35 0.194088
0.35 0.194088 0.35 0.194677
0.35 0.194677 0.35 0.195265
0.35 0.195265 0.35 0.195853
0.35 0.195853 0.35 0.196442
0.35 0.196442 0.35 0.19703
0.35 0.19703 0.35 0.197619
0.35 0.197619 0.35 0.198207
0.35 0.198207 0.35 0.198796
0.35 0.198796 0.35 0.199384
0.35 0.199384 0.35 0.199973
0.35 0.199973 0.35 0.200562
0.35 0.200562 0.35 0.201144
0.35 0.201144 0.35 0.201727
0.35 0.201727 0.35 0.20231
0.35 0.20231 0.35 0.202892
0.35 0.202892 0.35 0.203475
0.35 0.203475 0.35 0.204058
0.35 0.204058 0.35 0.204641
0.35 0.204641 0.35 0.205224
0.35 0.205224 0.35 0.205807
0.35 0.205807 0.35 0.20639
0.35 0.20639 0.35 0.206973
0.35 0.206973 0.35 0.207556
0.35 0.207556 0.35 0.20814
0.35 0.20814 0.35 0.208723
0.35 0.208723 0.35 0.209307
0.35 0.209307 0.35 0.20989
0.35 0.20989 0.35 0.210474
0.35 0.210474 0.35 0.211057
0.35 0.211057 0.35 0.211641
0.35 0.211641 0.35 0.212225
0.35 0.212225 0.35 0.212809
0.35 0.212809 0.35 0.213393
0.35 0.213393 0.35 0.213977
0.35 0.213977 0.35 0.214561
0.35 0.214561 0.35 0.215145
0.35 0.215145 0.35 0.21573
0.35 0.21573 0.35 0.216314
0.35 0.216314 0.35 0.216898
0.35 0.216898 0.35 0.217483
0.35 0.217483 0.35 0.218067
0.35 0.218067 0.35 0.218652
0.35 0.218652 0.35 0.219236
0.35 0.219236 0.35 0.219821
0.35 0.219821 0.35 0.220406
0.35 0.220406 0.35 0.22098
0.35 0.22098 0.35 0.221554
0.35 0.221554 0.35 0.222128
0.35 0.222128 0.35 0.222703
0.35 0.222703 0.35 0.223277
0.35 0.223277 0.35 0.223852
0.35 0.223852 0.35 0.224427
0.35 0.224427 0.35 0.225001
0.35 0.225001 0.35 0.225577
0.35 0.225577 0.35 0.226152
0.35 0.226152 0.35 0.226727
0.35 0.226727 0.35 0.227302
0.35 0.227302 0.35 0.227878
0.35 0.227878 0.35 0.228454
0.35 0.228454 0.35 0.22903
0.35 0.22903 0.35 0.229606
0.35 0.229606 0.35 0.230182
0.35 0.230182 0.35 0.230758
0.35 0.230758 0.35 0.231335
0.35 0.231335 0.35 0.231912
0.35 0.231912 0.35 0.232488
